Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,15,A
9,15,A
10,15,A
11,15,A
12,15,A
13,15,A
14,15,B
15,,
16,,
17,,
18,,
19,,
20,,
21,29,C
22,29,B
23,29,C
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,15,B
34,15,C
35,20,C
36,,
37,15,C
38,15,A
39,15,A
40,21,A
41,21,A
42,21,A
43,21,A
44,21,A
45,21,A
46,21,A
47,15,C
48,,
49,,
50,,
51,,
52,,
53,21,C
54,21,B
55,15,A
56,15,A
57,29,C
58,23,B
59,15,C
60,15,B
61,21,A
62,21,A
