unixtime,x,y
1551751748.479,13.56,9.99
1551752628.571,11.01,9.38
1551753424.203,24.54,21.46
1551753451.907,30.45,21.51
1551753545.669,36.48,21.51
1551753742.314,7.06,31.51
1551753781.608,7.06,31.51
1551754035.521,19.54,24.25
1551754069.858,17.61,25.25
1551754198.250,11.01,9.38
1551754666.527,17.61,25.25
1551754876.784,17.62,23.14
1551754907.527,11.01,9.38
1551755214.320,19.54,24.25
1551755298.483,17.61,25.25
1551755396.411,7.06,31.51
1551755628.552,17.61,25.25
1551755810.044,17.61,25.25
1551755935.595,11.01,9.38
1551756301.839,22.00,23.07
1551756409.995,11.01,9.38
1551756533.999,17.61,25.25
1551756719.030,17.61,25.25
1551756774.558,17.62,23.14
1551756853.312,11.01,9.38
1551757191.024,19.54,24.25
1551757204.779,17.61,25.25
1551757305.825,17.61,25.25
1551757325.748,36.48,21.51
1551757373.876,36.48,21.51
1551757543.018,17.61,25.25
1551759252.818,36.48,21.51
1551759326.087,37.78,21.12
1551759371.455,37.78,21.12
1551759376.457,37.78,21.12
1551760701.329,26.26,20.74
1551761429.516,30.45,21.51
1551761933.433,17.61,25.25
1551763773.145,17.61,25.25
1551763855.949,11.01,9.38
1551764157.891,17.61,25.25
1551764203.603,17.62,23.14
1551764241.888,30.45,21.51
1551764944.090,36.48,21.51
1551765132.683,22.00,23.07
1551765415.843,17.61,25.25
1551765493.199,19.54,24.25
1551765542.742,17.61,25.25
1551766822.964,19.54,24.25
