unixtime,x,y
1551769306.751,11.01,9.38
1551773011.680,7.06,31.51
1551776684.842,22.00,23.07
1551777014.099,21.99,20.76
1551777064.375,17.61,25.25
1551778725.422,41.37,29.22
1551778820.011,24.54,21.46
1551779144.248,17.61,25.25
1551779896.994,24.54,21.46
1551780507.163,19.54,24.25
1551780507.728,19.54,24.25
1551780725.669,7.06,31.51
1551780826.009,17.61,25.25
1551780850.383,41.37,29.22
1551781263.064,17.62,23.14
1551781373.289,30.45,21.51
1551781652.709,11.01,9.38
1551782548.503,7.06,31.51
1551782725.406,17.61,25.25
1551782968.060,19.54,24.25
1551783083.730,24.52,20.75
1551783459.223,17.61,25.25
1551784669.267,19.54,24.25
1551784945.024,7.06,31.51
1551785488.414,17.62,23.14
1551786062.581,17.62,23.14
1551786338.479,7.06,31.51
1551786574.641,17.61,25.25
