unixtime,x,y
1551668458.013,17.61,25.25
1551669487.670,17.62,23.14
1551670173.157,41.37,29.22
1551670421.917,12.65,9.38
1551670469.225,17.61,28.68
1551670540.836,17.61,25.25
1551670782.781,19.54,24.25
1551670819.445,17.61,25.25
1551671476.959,41.37,29.22
1551671499.461,36.48,21.51
1551671794.886,17.62,23.14
1551671797.303,36.48,21.51
1551672140.070,17.61,25.25
1551672162.064,30.45,21.51
1551672181.744,17.61,25.25
1551675854.573,19.54,24.25
1551676100.917,17.61,25.25
1551678595.604,36.48,21.51
1551679299.907,17.61,25.25
