Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,15,A
10,15,A
11,15,A
12,15,A
13,15,A
14,15,A
15,15,A
16,15,B
17,15,B
18,15,C
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,15,C
36,15,B
37,15,B
38,10,C
39,15,A
40,15,A
41,15,A
42,15,C
43,15,A
44,21,B
45,21,A
46,21,A
47,21,A
48,21,A
49,21,A
50,21,B
51,21,A
52,21,B
53,14,C
54,21,B
55,15,B
56,15,B
57,,
58,15,C
59,15,C
60,,
61,23,C
62,23,A
63,23,A
64,23,A
65,23,A
66,23,C
