Elapsed_time,Stayed_area_ID,Area_Dedication_Rate
1,,
2,,
3,,
4,,
5,,
6,,
7,15,A
8,15,A
9,14,A
10,14,B
11,14,C
12,20,A
13,20,A
14,20,A
15,20,B
16,14,A
17,14,C
18,,
19,,
20,,
21,,
22,14,A
23,14,C
24,14,C
25,,
26,,
27,,
28,14,C
29,14,A
30,,
31,14,B
32,14,B
33,14,A
34,14,A
35,14,A
36,14,B
37,14,A
38,22,A
39,22,A
40,22,A
41,22,A
42,22,A
43,22,A
44,22,A
45,22,A
46,22,C
47,22,A
48,22,C
49,22,A
50,22,A
51,22,C
52,14,C
53,,
54,14,C
55,,
56,14,C
57,14,C
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,22,C
70,22,C
71,14,B
72,14,C
