unixtime,x,y
1552185909.584,12.65,9.38
1552185950.619,19.84,29.29
1552186173.313,17.61,25.25
1552187663.113,17.61,25.25
1552189422.056,17.61,25.25
1552189548.328,20.94,21.93
1552189675.866,7.06,31.51
1552189805.829,17.61,25.25
1552189897.965,17.61,25.25
1552190195.106,17.62,23.14
1552190541.316,17.61,25.25
1552190992.777,41.37,29.22
1552191099.767,22.00,23.07
1552192524.241,17.61,25.25
1552192553.035,24.54,21.46
1552192603.564,11.01,9.38
1552193658.596,7.06,31.51
1552193868.972,11.01,9.38
1552194276.479,17.61,25.25
1552194850.878,41.37,29.22
1552195756.396,41.37,29.22
1552196185.464,17.61,25.25
1552196215.979,19.54,24.25
1552196483.370,17.61,25.25
1552197329.903,17.61,25.25
1552197566.203,23.96,21.46
1552198028.140,17.61,25.25
1552199570.770,24.54,21.46
