unixtime,x,y
1552116961.602,17.61,25.25
1552119240.125,11.01,9.38
1552121394.765,19.52,12.93
1552122332.787,7.06,31.51
1552122478.776,17.61,25.25
1552122903.036,19.84,29.29
1552123690.767,21.53,20.76
1552123890.038,17.61,25.25
1552123904.749,17.61,25.25
1552124095.331,7.06,31.51
1552124632.900,17.62,23.14
1552125368.628,17.61,25.25
1552126007.821,41.37,29.22
1552126794.396,19.54,24.25
1552126925.743,41.37,29.22
1552126932.125,7.06,31.51
1552128109.343,22.00,23.07
1552128367.584,20.39,29.27
1552128648.800,22.00,23.07
1552129055.001,17.61,25.25
1552130317.538,41.37,29.22
1552130344.627,7.06,31.51
1552131598.235,17.61,25.25
1552132481.244,17.61,25.25
1552133064.608,17.62,23.14
1552133066.815,17.62,23.14
1552133206.072,30.45,21.51
1552133387.146,17.61,25.25
