unixtime,x,y
1552029805.847,20.94,21.93
1552030212.633,17.61,25.25
1552036932.510,19.84,29.29
1552037237.356,20.93,23.03
1552037520.511,17.61,25.25
1552037820.053,12.65,9.38
1552038086.780,17.61,25.25
1552039580.350,11.01,9.38
1552039684.022,17.61,25.25
1552039942.680,17.61,25.25
1552040483.655,17.61,25.25
1552040981.011,19.54,24.25
1552041449.079,36.48,21.51
1552041467.061,41.37,29.22
1552041716.130,17.61,25.25
1552043380.318,7.06,31.51
1552043523.448,17.61,25.25
1552044167.623,19.54,24.25
1552044293.861,7.06,31.51
1552044955.584,17.61,25.25
1552045232.194,17.61,25.25
1552045260.350,18.77,23.64
1552046238.473,20.94,28.69
